model_type,variant,prompt_idx,seed,positive_prompt,negative_prompt,clip_positive,clip_negative
base,original_baseline,11,2025,A still painting of fruits,apples,0.3317238688468933,0.2654303014278412
base,original_with_neg,11,2025,A still painting of fruits,apples,0.3412505090236664,0.2246485948562622
base,original_baseline,12,42,A landscape,mountains,0.3121028542518616,0.24935382604599
base,original_with_neg,12,42,A landscape,mountains,0.2953970432281494,0.19698110222816467
base,original_baseline,12,1337,A landscape,mountains,0.3021652102470398,0.24554896354675293
base,original_with_neg,12,1337,A landscape,mountains,0.2968197166919708,0.19699621200561523
base,original_baseline,12,2025,A landscape,mountains,0.3204956352710724,0.23919862508773804
base,original_with_neg,12,2025,A landscape,mountains,0.3068058490753174,0.2109711766242981
base,original_baseline,13,42,A landscape,trees,0.3121028542518616,0.22604553401470184
base,original_with_neg,13,42,A landscape,trees,0.3043442368507385,0.22120420634746552
base,original_baseline,13,1337,A landscape,trees,0.3021652102470398,0.20906248688697815
base,original_with_neg,13,1337,A landscape,trees,0.30234378576278687,0.20853319764137268
base,original_baseline,13,2025,A landscape,trees,0.3204956352710724,0.24380633234977722
base,original_with_neg,13,2025,A landscape,trees,0.3001641631126404,0.20011988282203674
base,original_baseline,14,42,A room with furniture,window,0.30367136001586914,0.22783784568309784
base,original_with_neg,14,42,A room with furniture,window,0.2971169054508209,0.18975624442100525
base,original_baseline,14,1337,A room with furniture,window,0.2857287526130676,0.21728558838367462
base,original_with_neg,14,1337,A room with furniture,window,0.2796621322631836,0.1930917501449585
base,original_baseline,14,2025,A room with furniture,window,0.28143763542175293,0.19753050804138184
base,original_with_neg,14,2025,A room with furniture,window,0.27627384662628174,0.18627750873565674
base,original_baseline,15,42,A room with furniture,bed,0.30367136001586914,0.23323002457618713
base,original_with_neg,15,42,A room with furniture,bed,0.2960686683654785,0.21567612886428833
base,original_baseline,15,1337,A room with furniture,bed,0.2857287526130676,0.22416874766349792
base,original_with_neg,15,1337,A room with furniture,bed,0.26424333453178406,0.19943882524967194
base,original_baseline,15,2025,A room with furniture,bed,0.28143763542175293,0.21763257682323456
base,original_with_neg,15,2025,A room with furniture,bed,0.2766569256782532,0.17476679384708405
dmd,original_baseline,0,42,A photo of a person,male,0.2765849232673645,0.2097589373588562
dmd,original_with_neg,0,42,A photo of a person,male,0.2750081419944763,0.21043559908866882
dmd,original_baseline,0,1337,A photo of a person,male,0.266830712556839,0.20916783809661865
dmd,original_with_neg,0,1337,A photo of a person,male,0.272085964679718,0.22061941027641296
dmd,original_baseline,0,2025,A photo of a person,male,0.27330106496810913,0.21934156119823456
dmd,original_with_neg,0,2025,A photo of a person,male,0.2570810914039612,0.20834049582481384
dmd,original_baseline,1,42,A photo of a person,female,0.2765849232673645,0.1808912754058838
dmd,original_with_neg,1,42,A photo of a person,female,0.2802034020423889,0.17768347263336182
dmd,original_baseline,1,1337,A photo of a person,female,0.266830712556839,0.22693386673927307
dmd,original_with_neg,1,1337,A photo of a person,female,0.2608777582645416,0.20942935347557068
dmd,original_baseline,1,2025,A photo of a person,female,0.27330106496810913,0.18540531396865845
dmd,original_with_neg,1,2025,A photo of a person,female,0.26397377252578735,0.17907974123954773
dmd,original_baseline,2,42,A photo of a person,old,0.2765849232673645,0.20667056739330292
dmd,original_with_neg,2,42,A photo of a person,old,0.26857462525367737,0.20229297876358032
dmd,original_baseline,2,1337,A photo of a person,old,0.266830712556839,0.2030002474784851
dmd,original_with_neg,2,1337,A photo of a person,old,0.2470448911190033,0.17820234596729279
dmd,original_baseline,2,2025,A photo of a person,old,0.27330106496810913,0.2211361974477768
dmd,original_with_neg,2,2025,A photo of a person,old,0.2659964859485626,0.21987539529800415
dmd,original_baseline,3,42,A photo of a person,young,0.2765849232673645,0.21918246150016785
dmd,original_with_neg,3,42,A photo of a person,young,0.2797362506389618,0.20389297604560852
dmd,original_baseline,3,1337,A photo of a person,young,0.266830712556839,0.2344098687171936
dmd,original_with_neg,3,1337,A photo of a person,young,0.2889001965522766,0.22931626439094543
dmd,original_baseline,3,2025,A photo of a person,young,0.27330106496810913,0.22714756429195404
dmd,original_with_neg,3,2025,A photo of a person,young,0.25808000564575195,0.19532380998134613
dmd,original_baseline,4,42,A photo of a person,bright lighting,0.2765849232673645,0.17398998141288757
dmd,original_with_neg,4,42,A photo of a person,bright lighting,0.2795479893684387,0.1658928543329239
dmd,original_baseline,4,1337,A photo of a person,bright lighting,0.266830712556839,0.17294295132160187
dmd,original_with_neg,4,1337,A photo of a person,bright lighting,0.2667217254638672,0.18453074991703033
dmd,original_baseline,4,2025,A photo of a person,bright lighting,0.27330106496810913,0.18796730041503906
dmd,original_with_neg,4,2025,A photo of a person,bright lighting,0.2669517993927002,0.17817947268486023
dmd,original_baseline,5,42,A photo of a person,dark lighting,0.2765849232673645,0.19718551635742188
dmd,original_with_neg,5,42,A photo of a person,dark lighting,0.2696705460548401,0.18418797850608826
dmd,original_baseline,5,1337,A photo of a person,dark lighting,0.266830712556839,0.19162654876708984
dmd,original_with_neg,5,1337,A photo of a person,dark lighting,0.2870689630508423,0.19842708110809326
dmd,original_baseline,5,2025,A photo of a person,dark lighting,0.27330106496810913,0.20097902417182922
dmd,original_with_neg,5,2025,A photo of a person,dark lighting,0.26571863889694214,0.19559542834758759
dmd,original_baseline,6,42,A photo of a pet,dog,0.2646912932395935,0.2139706164598465
dmd,original_with_neg,6,42,A photo of a pet,dog,0.27153459191322327,0.21952401101589203
dmd,original_baseline,6,1337,A photo of a pet,dog,0.2678337097167969,0.2055138200521469
dmd,original_with_neg,6,1337,A photo of a pet,dog,0.2690165638923645,0.212240070104599
dmd,original_baseline,6,2025,A photo of a pet,dog,0.2733246684074402,0.21024060249328613
dmd,original_with_neg,6,2025,A photo of a pet,dog,0.27060768008232117,0.21095992624759674
dmd,original_baseline,7,42,A photo of a pet,cat,0.2646912932395935,0.2618306279182434
dmd,original_with_neg,7,42,A photo of a pet,cat,0.26956865191459656,0.2706948518753052
dmd,original_baseline,7,1337,A photo of a pet,cat,0.2678337097167969,0.25920605659484863
dmd,original_with_neg,7,1337,A photo of a pet,cat,0.26888009905815125,0.2745063304901123
dmd,original_baseline,7,2025,A photo of a pet,cat,0.2733246684074402,0.25977611541748047
dmd,original_with_neg,7,2025,A photo of a pet,cat,0.2661994695663452,0.26145726442337036
dmd,original_baseline,8,42,A photo from the 1960s,colour,0.28555911779403687,0.19048744440078735
dmd,original_with_neg,8,42,A photo from the 1960s,colour,0.28014910221099854,0.1980990320444107
dmd,original_baseline,8,1337,A photo from the 1960s,colour,0.2896282970905304,0.1806059330701828
dmd,original_with_neg,8,1337,A photo from the 1960s,colour,0.28210902214050293,0.19961126148700714
dmd,original_baseline,8,2025,A photo from the 1960s,colour,0.26632940769195557,0.17827901244163513
dmd,original_with_neg,8,2025,A photo from the 1960s,colour,0.23532694578170776,0.18409869074821472
dmd,original_baseline,9,42,A photo from the 1960s,black and white,0.28555911779403687,0.21210290491580963
dmd,original_with_neg,9,42,A photo from the 1960s,black and white,0.2936602234840393,0.21620307862758636
dmd,original_baseline,9,1337,A photo from the 1960s,black and white,0.2896282970905304,0.1741216480731964
dmd,original_with_neg,9,1337,A photo from the 1960s,black and white,0.28423866629600525,0.21910719573497772
dmd,original_baseline,9,2025,A photo from the 1960s,black and white,0.26632940769195557,0.1991506814956665
dmd,original_with_neg,9,2025,A photo from the 1960s,black and white,0.2527616620063782,0.19087330996990204
dmd,original_baseline,10,42,A still painting of fruits,grapes,0.3285099267959595,0.2557562589645386
dmd,original_with_neg,10,42,A still painting of fruits,grapes,0.34731411933898926,0.22419476509094238
dmd,original_baseline,10,1337,A still painting of fruits,grapes,0.32891640067100525,0.27968499064445496
dmd,original_with_neg,10,1337,A still painting of fruits,grapes,0.3574769198894501,0.2776893377304077
dmd,original_baseline,10,2025,A still painting of fruits,grapes,0.3545352816581726,0.2731308937072754
dmd,original_with_neg,10,2025,A still painting of fruits,grapes,0.3443186581134796,0.24832381308078766
dmd,original_baseline,11,42,A still painting of fruits,apples,0.3285099267959595,0.2571134865283966
dmd,original_with_neg,11,42,A still painting of fruits,apples,0.34611594676971436,0.2629231810569763
dmd,original_baseline,11,1337,A still painting of fruits,apples,0.32891640067100525,0.25348129868507385
dmd,original_with_neg,11,1337,A still painting of fruits,apples,0.3226097822189331,0.22740253806114197
dmd,original_baseline,11,2025,A still painting of fruits,apples,0.3545352816581726,0.24868759512901306
dmd,original_with_neg,11,2025,A still painting of fruits,apples,0.3504345417022705,0.26177722215652466
dmd,original_baseline,12,42,A landscape,mountains,0.30584102869033813,0.24877437949180603
dmd,original_with_neg,12,42,A landscape,mountains,0.3103595972061157,0.24118979275226593
dmd,original_baseline,12,1337,A landscape,mountains,0.30758535861968994,0.22369998693466187
dmd,original_with_neg,12,1337,A landscape,mountains,0.2676474153995514,0.23663955926895142
dmd,original_baseline,12,2025,A landscape,mountains,0.31703776121139526,0.2543357014656067
dmd,original_with_neg,12,2025,A landscape,mountains,0.30809450149536133,0.21334770321846008
dmd,original_baseline,13,42,A landscape,trees,0.30584102869033813,0.22420719265937805
dmd,original_with_neg,13,42,A landscape,trees,0.3085218667984009,0.2260151207447052
dmd,original_baseline,13,1337,A landscape,trees,0.30758535861968994,0.21554529666900635
dmd,original_with_neg,13,1337,A landscape,trees,0.27958232164382935,0.19858583807945251
dmd,original_baseline,13,2025,A landscape,trees,0.31703776121139526,0.24768227338790894
dmd,original_with_neg,13,2025,A landscape,trees,0.3041397035121918,0.20830757915973663
dmd,original_baseline,14,42,A room with furniture,window,0.28338688611984253,0.23080924153327942
dmd,original_with_neg,14,42,A room with furniture,window,0.2767883539199829,0.21492977440357208
dmd,original_baseline,14,1337,A room with furniture,window,0.26970431208610535,0.1937498301267624
dmd,original_with_neg,14,1337,A room with furniture,window,0.27798745036125183,0.20783686637878418
dmd,original_baseline,14,2025,A room with furniture,window,0.28575944900512695,0.2248987853527069
dmd,original_with_neg,14,2025,A room with furniture,window,0.2719981074333191,0.20932969450950623
dmd,original_baseline,15,42,A room with furniture,bed,0.28338688611984253,0.20130549371242523
dmd,original_with_neg,15,42,A room with furniture,bed,0.2820984423160553,0.19187933206558228
dmd,original_baseline,15,1337,A room with furniture,bed,0.26970431208610535,0.24415859580039978
dmd,original_with_neg,15,1337,A room with furniture,bed,0.26661092042922974,0.2400493621826172
dmd,original_baseline,15,2025,A room with furniture,bed,0.28575944900512695,0.2505708932876587
dmd,original_with_neg,15,2025,A room with furniture,bed,0.2876388728618622,0.26357945799827576
hyper,original_baseline,0,42,A photo of a person,male,0.26480644941329956,0.19623024761676788
hyper,original_with_neg,0,42,A photo of a person,male,0.26088249683380127,0.18037013709545135
hyper,original_baseline,0,1337,A photo of a person,male,0.26890501379966736,0.22624947130680084
hyper,original_with_neg,0,1337,A photo of a person,male,0.2397841215133667,0.19730348885059357
hyper,original_baseline,0,2025,A photo of a person,male,0.2578895390033722,0.15419894456863403
hyper,original_with_neg,0,2025,A photo of a person,male,0.2622639536857605,0.16873498260974884
hyper,original_baseline,1,42,A photo of a person,female,0.26480644941329956,0.20611611008644104
hyper,original_with_neg,1,42,A photo of a person,female,0.24151715636253357,0.19425679743289948
hyper,original_baseline,1,1337,A photo of a person,female,0.26890501379966736,0.20762671530246735
hyper,original_with_neg,1,1337,A photo of a person,female,0.2375476360321045,0.17142117023468018
hyper,original_baseline,1,2025,A photo of a person,female,0.2578895390033722,0.15326784551143646
hyper,original_with_neg,1,2025,A photo of a person,female,0.25872373580932617,0.14125224947929382
hyper,original_baseline,2,42,A photo of a person,old,0.26480644941329956,0.20768272876739502
hyper,original_with_neg,2,42,A photo of a person,old,0.23544926941394806,0.20640191435813904
hyper,original_baseline,2,1337,A photo of a person,old,0.26890501379966736,0.2248859405517578
hyper,original_with_neg,2,1337,A photo of a person,old,0.24449041485786438,0.19999073445796967
hyper,original_baseline,2,2025,A photo of a person,old,0.2578895390033722,0.19718104600906372
hyper,original_with_neg,2,2025,A photo of a person,old,0.2527863681316376,0.1960189938545227
hyper,original_baseline,3,42,A photo of a person,young,0.26480644941329956,0.22326110303401947
hyper,original_with_neg,3,42,A photo of a person,young,0.24954788386821747,0.18540528416633606
hyper,original_baseline,3,1337,A photo of a person,young,0.26890501379966736,0.22635002434253693
hyper,original_with_neg,3,1337,A photo of a person,young,0.2740544378757477,0.2111395299434662
hyper,original_baseline,3,2025,A photo of a person,young,0.2578895390033722,0.194441556930542
hyper,original_with_neg,3,2025,A photo of a person,young,0.2540973722934723,0.19251447916030884
hyper,original_baseline,4,42,A photo of a person,bright lighting,0.26480644941329956,0.16223539412021637
hyper,original_with_neg,4,42,A photo of a person,bright lighting,0.2849690914154053,0.1656256914138794
hyper,original_baseline,4,1337,A photo of a person,bright lighting,0.26890501379966736,0.16866347193717957
hyper,original_with_neg,4,1337,A photo of a person,bright lighting,0.2774266302585602,0.16535018384456635
hyper,original_baseline,4,2025,A photo of a person,bright lighting,0.2578895390033722,0.16977928578853607
hyper,original_with_neg,4,2025,A photo of a person,bright lighting,0.2808127999305725,0.17557966709136963
hyper,original_baseline,5,42,A photo of a person,dark lighting,0.26480644941329956,0.18435876071453094
hyper,original_with_neg,5,42,A photo of a person,dark lighting,0.2671675682067871,0.17773117125034332
hyper,original_baseline,5,1337,A photo of a person,dark lighting,0.26890501379966736,0.1787528246641159
hyper,original_with_neg,5,1337,A photo of a person,dark lighting,0.241545170545578,0.16401979327201843
hyper,original_baseline,5,2025,A photo of a person,dark lighting,0.2578895390033722,0.1660177856683731
hyper,original_with_neg,5,2025,A photo of a person,dark lighting,0.2597152888774872,0.1547393947839737
hyper,original_baseline,6,42,A photo of a pet,dog,0.2892325520515442,0.26653456687927246
hyper,original_with_neg,6,42,A photo of a pet,dog,0.2694861888885498,0.21439504623413086
hyper,original_baseline,6,1337,A photo of a pet,dog,0.27109193801879883,0.21307235956192017
hyper,original_with_neg,6,1337,A photo of a pet,dog,0.2550587058067322,0.2290925532579422
hyper,original_baseline,6,2025,A photo of a pet,dog,0.2538300156593323,0.2473529577255249
hyper,original_with_neg,6,2025,A photo of a pet,dog,0.2491338551044464,0.2537788152694702
hyper,original_baseline,7,42,A photo of a pet,cat,0.2892325520515442,0.19663232564926147
hyper,original_with_neg,7,42,A photo of a pet,cat,0.27633136510849,0.1792890578508377
hyper,original_baseline,7,1337,A photo of a pet,cat,0.27109193801879883,0.2714287042617798
hyper,original_with_neg,7,1337,A photo of a pet,cat,0.26680201292037964,0.23414289951324463
hyper,original_baseline,7,2025,A photo of a pet,cat,0.2538300156593323,0.18318350613117218
hyper,original_with_neg,7,2025,A photo of a pet,cat,0.25563573837280273,0.17381802201271057
hyper,original_baseline,8,42,A photo from the 1960s,colour,0.2664349675178528,0.16909736394882202
hyper,original_with_neg,8,42,A photo from the 1960s,colour,0.26357531547546387,0.17332510650157928
hyper,original_baseline,8,1337,A photo from the 1960s,colour,0.28331366181373596,0.19185155630111694
hyper,original_with_neg,8,1337,A photo from the 1960s,colour,0.2794587016105652,0.191544771194458
hyper,original_baseline,8,2025,A photo from the 1960s,colour,0.27516627311706543,0.17778737843036652
hyper,original_with_neg,8,2025,A photo from the 1960s,colour,0.2806532382965088,0.1833025962114334
hyper,original_baseline,9,42,A photo from the 1960s,black and white,0.2664349675178528,0.1977124959230423
hyper,original_with_neg,9,42,A photo from the 1960s,black and white,0.2900136113166809,0.16027790307998657
hyper,original_baseline,9,1337,A photo from the 1960s,black and white,0.28331366181373596,0.19943198561668396
hyper,original_with_neg,9,1337,A photo from the 1960s,black and white,0.29353728890419006,0.14792153239250183
hyper,original_baseline,9,2025,A photo from the 1960s,black and white,0.27516627311706543,0.18789401650428772
hyper,original_with_neg,9,2025,A photo from the 1960s,black and white,0.26252520084381104,0.1551748812198639
hyper,original_baseline,10,42,A still painting of fruits,grapes,0.33570975065231323,0.2624608874320984
hyper,original_with_neg,10,42,A still painting of fruits,grapes,0.3362114727497101,0.22437232732772827
hyper,original_baseline,10,1337,A still painting of fruits,grapes,0.3435797691345215,0.2726862132549286
hyper,original_with_neg,10,1337,A still painting of fruits,grapes,0.33832675218582153,0.20591208338737488
hyper,original_baseline,10,2025,A still painting of fruits,grapes,0.30717092752456665,0.2236974984407425
hyper,original_with_neg,10,2025,A still painting of fruits,grapes,0.3219988942146301,0.20318542420864105
hyper,original_baseline,11,42,A still painting of fruits,apples,0.33570975065231323,0.2577418088912964
hyper,original_with_neg,11,42,A still painting of fruits,apples,0.33171236515045166,0.21545827388763428
hyper,original_baseline,11,1337,A still painting of fruits,apples,0.3435797691345215,0.2674936056137085
hyper,original_with_neg,11,1337,A still painting of fruits,apples,0.3437759280204773,0.22041215002536774
hyper,original_baseline,11,2025,A still painting of fruits,apples,0.30717092752456665,0.24068190157413483
hyper,original_with_neg,11,2025,A still painting of fruits,apples,0.3278462290763855,0.22169950604438782
hyper,original_baseline,12,42,A landscape,mountains,0.3213598132133484,0.26112502813339233
hyper,original_with_neg,12,42,A landscape,mountains,0.29391372203826904,0.20138227939605713
hyper,original_baseline,12,1337,A landscape,mountains,0.2911950945854187,0.22391532361507416
hyper,original_with_neg,12,1337,A landscape,mountains,0.29362690448760986,0.2000453770160675
hyper,original_baseline,12,2025,A landscape,mountains,0.3268476128578186,0.2432565689086914
hyper,original_with_neg,12,2025,A landscape,mountains,0.3237130641937256,0.23171886801719666
hyper,original_baseline,13,42,A landscape,trees,0.3213598132133484,0.22519943118095398
hyper,original_with_neg,13,42,A landscape,trees,0.3019716143608093,0.20040161907672882
hyper,original_baseline,13,1337,A landscape,trees,0.2911950945854187,0.20730814337730408
hyper,original_with_neg,13,1337,A landscape,trees,0.29925811290740967,0.19693045318126678
hyper,original_baseline,13,2025,A landscape,trees,0.3268476128578186,0.2790694236755371
hyper,original_with_neg,13,2025,A landscape,trees,0.32037532329559326,0.27156898379325867
hyper,original_baseline,14,42,A room with furniture,window,0.28481489419937134,0.19560357928276062
hyper,original_with_neg,14,42,A room with furniture,window,0.28441399335861206,0.1991710662841797
hyper,original_baseline,14,1337,A room with furniture,window,0.27088433504104614,0.22415202856063843
hyper,original_with_neg,14,1337,A room with furniture,window,0.2817476987838745,0.1960025131702423
hyper,original_baseline,14,2025,A room with furniture,window,0.2644244432449341,0.20354464650154114
hyper,original_with_neg,14,2025,A room with furniture,window,0.2709422707557678,0.20164397358894348
hyper,original_baseline,15,42,A room with furniture,bed,0.28481489419937134,0.21400025486946106
hyper,original_with_neg,15,42,A room with furniture,bed,0.2639562785625458,0.18471792340278625
hyper,original_baseline,15,1337,A room with furniture,bed,0.27088433504104614,0.18718589842319489
hyper,original_with_neg,15,1337,A room with furniture,bed,0.25865161418914795,0.15810373425483704
hyper,original_baseline,15,2025,A room with furniture,bed,0.2644244432449341,0.1876763105392456
hyper,original_with_neg,15,2025,A room with furniture,bed,0.2679782807826996,0.17951951920986176
lcm,original_baseline,0,42,A photo of a person,male,0.25592297315597534,0.19369906187057495
lcm,original_with_neg,0,42,A photo of a person,male,0.25592297315597534,0.19369906187057495
lcm,original_baseline,0,1337,A photo of a person,male,0.2610161304473877,0.19555091857910156
lcm,original_with_neg,0,1337,A photo of a person,male,0.2610161304473877,0.19555091857910156
lcm,original_baseline,0,2025,A photo of a person,male,0.2656118869781494,0.19406048953533173
lcm,original_with_neg,0,2025,A photo of a person,male,0.2656118869781494,0.19406048953533173
lcm,original_baseline,1,42,A photo of a person,female,0.25592297315597534,0.17217589914798737
lcm,original_with_neg,1,42,A photo of a person,female,0.25592297315597534,0.17217589914798737
lcm,original_baseline,1,1337,A photo of a person,female,0.2610161304473877,0.1944097876548767
lcm,original_with_neg,1,1337,A photo of a person,female,0.2610161304473877,0.1944097876548767
lcm,original_baseline,1,2025,A photo of a person,female,0.2656118869781494,0.19567087292671204
lcm,original_with_neg,1,2025,A photo of a person,female,0.2656118869781494,0.19567087292671204
lcm,original_baseline,2,42,A photo of a person,old,0.25592297315597534,0.2197352647781372
lcm,original_with_neg,2,42,A photo of a person,old,0.25592297315597534,0.2197352647781372
lcm,original_baseline,2,1337,A photo of a person,old,0.2610161304473877,0.21721956133842468
lcm,original_with_neg,2,1337,A photo of a person,old,0.2610161304473877,0.21721956133842468
lcm,original_baseline,2,2025,A photo of a person,old,0.2656118869781494,0.2257392704486847
lcm,original_with_neg,2,2025,A photo of a person,old,0.2656118869781494,0.2257392704486847
lcm,original_baseline,3,42,A photo of a person,young,0.25592297315597534,0.21774785220623016
lcm,original_with_neg,3,42,A photo of a person,young,0.25592297315597534,0.21774785220623016
lcm,original_baseline,3,1337,A photo of a person,young,0.2610161304473877,0.21702110767364502
lcm,original_with_neg,3,1337,A photo of a person,young,0.2610161304473877,0.21702110767364502
lcm,original_baseline,3,2025,A photo of a person,young,0.2656118869781494,0.23349130153656006
lcm,original_with_neg,3,2025,A photo of a person,young,0.2656118869781494,0.23349130153656006
lcm,original_baseline,4,42,A photo of a person,bright lighting,0.25592297315597534,0.1654091477394104
lcm,original_with_neg,4,42,A photo of a person,bright lighting,0.25592297315597534,0.1654091477394104
lcm,original_baseline,4,1337,A photo of a person,bright lighting,0.2610161304473877,0.18278953433036804
lcm,original_with_neg,4,1337,A photo of a person,bright lighting,0.2610161304473877,0.18278953433036804
lcm,original_baseline,4,2025,A photo of a person,bright lighting,0.2656118869781494,0.2081933319568634
lcm,original_with_neg,4,2025,A photo of a person,bright lighting,0.2656118869781494,0.2081933319568634
lcm,original_baseline,5,42,A photo of a person,dark lighting,0.25592297315597534,0.20613743364810944
lcm,original_with_neg,5,42,A photo of a person,dark lighting,0.25592297315597534,0.20613743364810944
lcm,original_baseline,5,1337,A photo of a person,dark lighting,0.2610161304473877,0.2057076096534729
lcm,original_with_neg,5,1337,A photo of a person,dark lighting,0.2610161304473877,0.2057076096534729
